panelist_id,idx,example
mia,0,Read the back of the wrapper — chickpea protein is a good sign.
mia,1,If it's actually 35g and not just on the front of the box I'll consider it.
mia,2,Not paying £1.80 for something that's basically dates and oats.
liam,0,"Yeah looks decent, but is it filling?"
liam,1,Couldn't tell you the calories — I'd just eat two of them.
liam,2,Nah I'd grab the Twix to be honest.
jordan,0,"Vibes are okay, but £1.80? On a barista wage?"
jordan,1,"If it photographs well, sure."
jordan,2,Half my regulars would buy this on the way out.
chloe,0,£1.80 a bar adds up if you eat one a day.
chloe,1,"Six bars for £6 in Aldi, that's more like it."
chloe,2,I'd try it if there was an offer.
tariq,0,35g protein for 110 cal is actually solid for a bar.
tariq,1,Chickpea protein — that's a bit unusual but I'd take it.
tariq,2,"At £1.80 though, my macros are cheaper from a tub of yoghurt and oats."
ellie,0,"Lovely packaging, very on-trend."
ellie,1,"If the brand's story is good, I'd repost it."
ellie,2,Plant-based protein is doing big numbers right now.
sophie,0,"Clean label, real numbers — that's a good ad."
sophie,1,I'd be telling my clients about this if it actually delivers.
sophie,2,Most bars overpromise. I want to see what's actually in it.
marcus,0,Solid macros if true. Three bars a week is fine in the budget.
marcus,1,I'd switch from Trek if these turned up in the supermarket.
marcus,2,Need to see the full ingredient list before committing.
aisha,0,Sounds good but I just want something at the station that isn't a Pret salad.
aisha,1,If I can grab one on the platform I'd consider it.
aisha,2,£1.80 is fine if it actually keeps me going to lunch.
ben,0,Another protein bar. Original.
ben,1,£1.80 for marketing on a wrapper.
ben,2,Looks like every other bar in the aisle to me.
olivia,0,Loving the warm grading on the lifestyle ad.
olivia,1,If the brand reaches out I'll feature it on a Sunday.
olivia,2,Plant protein has a moment right now and these guys are catching it.
adam,0,35g of protein for 110 cal is a strong number if it's real.
adam,1,My clients would want to know who's behind it.
adam,2,£1.80 is a fair price if it tastes okay and isn't full of sugar alcohol.
priya,0,I'd want to see the ingredient list before stocking it.
priya,1,Six ingredients is a good claim — needs to hold up.
priya,2,The kids wouldn't go for these but I might.
tom,0,"It's the right framing, but a lot of brands say 'clean'."
tom,1,If it's actually six ingredients and the protein number is real I'd be in.
tom,2,The lifestyle version is fine — but I'd want to see substance behind it.
sarah,0,£1.80 each? The kids would burn through a box in a week.
sarah,1,Looks nice but it's a luxury at that price.
sarah,2,Maybe if it was in the lunchbox section under a pound.
mark,0,Not for the kids — too dear.
mark,1,Multipack of cereal bars does the job for 30p each.
mark,2,Plant-based isn't really for us.
hugo,0,Plant protein with clean ingredients — interesting if executed well.
hugo,1,I'd give it a serious try if it tastes good.
hugo,2,£1.80 is fair if the texture isn't sand.
aisling,0,I'd be looking at the price per bar against a multipack.
aisling,1,Don't see myself paying £1.80 a bar for the lunchboxes.
aisling,2,If it was on offer I'd try one for myself.
helen,0,"I'd want to read the label, not just hear the claims."
helen,1,Clean ingredients is the right idea. Show me the back of the wrapper.
helen,2,Pilates Tuesdays — a snack like this could fit if it earns its place.
dean,0,£1.80 a bar — you're having a laugh.
dean,1,Costco have multipacks for a tenner — that's the standard.
dean,2,Plant-based isn't for me. I'll stick with what I know.
charlotte,0,The lifestyle film looks well made.
charlotte,1,I'd be more convinced by the ingredient story than the gym shots.
charlotte,2,Quality for the price needs to be visible.
karl,0,The claims sound clean but where's the evidence on absorbability?
karl,1,Without third-party testing this is just packaging.
karl,2,Plant protein is fine if the amino acid profile is decent.
david,0,The cardiologist said plant proteins. This might fit.
david,1,I'd want to know about the salt and saturated fat too.
david,2,£1.80 once a day is doable.
linda,0,I don't really go for plant-based things.
linda,1,A friend of mine likes those Trek bars I think.
linda,2,I'd buy one if it was put in my hand.
patrick,0,Plant protein done well is interesting.
patrick,1,The lifestyle ad is fine but the rational version tells me more.
patrick,2,£1.80 is acceptable for something genuinely good.
rachel,0,"Six ingredients listed — that's a real claim, easy to verify."
rachel,1,The lifestyle ad doesn't give me anything to decide on.
rachel,2,"If the rational ad is honest, I'd buy one to try."
margaret,0,I don't usually go for things like this.
margaret,1,"If my daughter brought one over, I'd try it."
margaret,2,I prefer my biscuits with my tea.
geoffrey,0,The claims are stated plainly enough.
geoffrey,1,A reasonable price for what is described.
geoffrey,2,I might pick one up at Marks's next week.
doreen,0,"Plant-based, is it? Not really my thing love."
doreen,1,My grandson would probably like one.
doreen,2,I'll stick with my custard creams thanks.
roger,0,Another bar from a marketing department.
roger,1,£1.80 for what — five almonds and some oats?
roger,2,Maybe if my wife buys some I'd try one.
